,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
2382,R,0,0,0,2,7,190414_191741,2319.0,4,3,3,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
848,R,0,0,0,2,8,190630_194102,2457.0,3,1,2,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
227,L,0,0,1,0,5,190914_003254,2465.0,1,2,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
1649,R,0,1,0,1,4,190523_001320,2389.0,3,0,1,Standard,Standard,0,1_1,fb:0_sb:1_tb:0
1641,R,0,1,1,1,4,190523_001801,2357.0,2,0,1,Standard,Standard,0,0_1,fb:1_sb:1_tb:0
2523,L,0,0,0,1,3,190407_181033,1815.0,5,1,5,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
2230,R,0,0,0,1,3,190426_234059,2450.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
911,R,0,0,0,0,4,190630_181208,2535.0,5,0,1,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
230,R,0,0,0,0,5,190914_003134,2430.0,1,2,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2567,R,1,1,0,2,5,190403_012037,2474.0,3,2,0,Standard,Standard,1,1_1,fb:0_sb:1_tb:1
1818,L,0,0,0,0,1,190517_230554,2428.0,3,0,0,Infield shift,Standard,1,2_0,fb:0_sb:0_tb:0
1325,R,0,0,0,2,4,190609_031751,2231.0,1,0,3,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
148,L,0,0,0,0,5,190918_183009,2409.0,5,1,0,Infield shift,Strategic,0,3_1,fb:0_sb:0_tb:0
1878,R,0,1,0,0,4,190512_022307,2372.0,3,2,0,Standard,Standard,0,1_1,fb:0_sb:1_tb:0
422,L,0,0,0,2,5,190904_002533,2490.0,3,4,1,Strategic,Standard,1,1_1,fb:0_sb:0_tb:0
390,R,0,0,0,0,2,190908_175248,2381.0,3,0,3,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
2367,R,1,0,0,2,8,190414_194054,,2,3,3,Standard,Standard,1,0_1,fb:0_sb:0_tb:1
212,L,1,0,1,2,5,190914_004250,1479.0,2,3,0,Infield shift,Standard,1,0_1,fb:1_sb:0_tb:1
1228,L,0,0,1,1,4,190615_000442,2581.0,5,1,3,Strategic,Standard,1,1_2,fb:1_sb:0_tb:0
1574,R,0,1,0,1,2,190527_172930,2550.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
1037,L,0,0,0,0,2,190625_234144,1424.0,4,0,0,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
1742,L,0,0,0,0,5,190518_003412,2417.0,3,3,2,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
1342,R,1,1,1,2,2,190609_025008,2295.0,3,0,1,Standard,Standard,0,1_1,fb:1_sb:1_tb:1
523,L,0,0,0,1,4,190829_001532,1463.0,3,1,5,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
687,L,0,0,0,1,4,190725_211329,2316.0,6,0,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1355,L,0,0,0,0,2,190609_024146,2503.0,3,0,1,Standard,Strategic,0,0_2,fb:0_sb:0_tb:0
2538,R,0,0,1,0,2,190407_175301,2336.0,6,1,5,Standard,Standard,0,2_2,fb:1_sb:0_tb:0
2608,R,0,0,0,0,4,190403_004911,2513.0,1,1,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
166,L,0,0,0,2,3,190918_180327,1426.0,3,1,0,Infield shift,Standard,0,0_2,fb:0_sb:0_tb:0
509,L,0,0,0,0,5,190829_003017,2503.0,5,1,5,Infield shift,Standard,1,2_2,fb:0_sb:0_tb:0
1384,R,0,1,0,1,8,190602_195706,1497.0,5,1,4,Standard,Standard,0,2_2,fb:0_sb:1_tb:0
