,pitch_type,game_date,batter,release_speed,zone,stand,home_team,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
130,SL,2019-09-18,502671,84.8,5.0,R,STL,0,1,1,1,6,190918_190242,2379.0,1,2,0,Standard,Standard,0,0_0,fb:1_sb:1_tb:0
131,CU,2019-09-18,543939,77.4,5.0,L,STL,0,0,1,1,6,190918_190153,2749.0,1,2,0,Infield shift,Standard,0,0_0,fb:1_sb:0_tb:0
132,FF,2019-09-18,451594,93.5,9.0,L,STL,0,0,0,1,6,190918_190116,2379.0,3,2,0,Infield shift,Standard,0,2_0,fb:0_sb:0_tb:0
133,CU,2019-09-18,451594,78.9,14.0,L,STL,0,0,0,1,6,190918_190047,2851.0,2,2,0,Infield shift,Standard,0,1_0,fb:0_sb:0_tb:0
134,CH,2019-09-18,451594,82.9,13.0,L,STL,0,0,0,1,6,190918_190031,1452.0,1,2,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
135,SL,2019-09-18,425794,85.0,14.0,R,STL,0,0,0,0,6,190918_185948,2456.0,3,2,0,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
136,FF,2019-09-18,425794,93.8,6.0,R,STL,0,0,0,0,6,190918_185931,2301.0,2,2,0,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
137,FF,2019-09-18,425794,93.1,9.0,R,STL,0,0,0,0,6,190918_185915,2395.0,1,2,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
138,FF,2019-09-18,669242,97.2,11.0,L,STL,0,0,0,2,5,190918_183621,2452.0,5,2,0,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
139,FF,2019-09-18,669242,95.4,2.0,L,STL,0,0,0,2,5,190918_183540,2535.0,4,2,0,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
140,CU,2019-09-18,669242,79.7,4.0,L,STL,0,0,0,2,5,190918_183522,2654.0,3,2,0,Standard,Standard,0,2_0,fb:0_sb:0_tb:0
141,CH,2019-09-18,669242,84.2,11.0,L,STL,0,0,0,2,5,190918_183500,1542.0,2,2,0,Standard,Standard,0,1_0,fb:0_sb:0_tb:0
142,FF,2019-09-18,669242,95.6,12.0,L,STL,0,0,0,2,5,190918_183444,2562.0,1,2,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
143,SL,2019-09-18,657557,85.2,8.0,R,STL,1,0,0,1,5,190918_183354,2271.0,2,1,0,Strategic,Standard,0,0_1,fb:0_sb:0_tb:1
144,SL,2019-09-18,657557,84.9,2.0,R,STL,1,0,0,1,5,190918_183325,2408.0,1,1,0,Strategic,Standard,0,0_0,fb:0_sb:0_tb:1
145,FF,2019-09-18,425877,93.8,12.0,R,STL,0,1,0,0,5,190918_183230,2486.0,3,1,0,Standard,Standard,0,0_2,fb:0_sb:1_tb:0
146,SL,2019-09-18,425877,85.0,6.0,R,STL,0,1,0,0,5,190918_183156,2309.0,2,1,0,Standard,Standard,0,0_1,fb:0_sb:1_tb:0
147,CH,2019-09-18,425877,82.0,13.0,R,STL,0,1,0,0,5,190918_183110,1314.0,1,1,0,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
148,FF,2019-09-18,572761,94.4,4.0,L,STL,0,0,0,0,5,190918_183009,2409.0,5,1,0,Infield shift,Strategic,0,3_1,fb:0_sb:0_tb:0
149,CH,2019-09-18,572761,83.9,13.0,L,STL,0,0,0,0,5,190918_182942,1427.0,4,1,0,Infield shift,Standard,0,2_1,fb:0_sb:0_tb:0
150,FF,2019-09-18,572761,94.5,11.0,L,STL,0,0,0,0,5,190918_182922,2399.0,3,1,0,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
151,CU,2019-09-18,572761,79.9,13.0,L,STL,0,0,0,0,5,190918_182859,2822.0,2,1,0,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
152,CU,2019-09-18,572761,77.2,4.0,L,STL,0,0,0,0,5,190918_182843,2692.0,1,1,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
153,SL,2019-09-18,542303,86.7,14.0,R,STL,0,0,0,2,4,190918_181842,2402.0,8,1,0,Infield shift,Standard,0,3_2,fb:0_sb:0_tb:0
154,CU,2019-09-18,542303,80.5,8.0,R,STL,0,0,0,2,4,190918_181810,2759.0,7,1,0,Infield shift,Standard,0,3_2,fb:0_sb:0_tb:0
